,slang,formal
142,aktivi , aktivis
143,aktivis2 , aktivis-aktivis
144,aku,saya
145,akuh,aku
146,akuhh,aku
147,akun2 , akun-akun
148,akuu,aku
149,akuuu,aku
150,akuuuur,akur
151,akuwh , aku
152,akyu , aku
153,ala2,ala-ala
154,alaami,alami
155,alak,kepala
156,alamii,alami
157,alamiii,alami
158,alay , norak
159,aleg , caleg
160,alhamd,alhamdulillah
161,alhamdulillaaaaah,alhamdulillah
162,alih2 , alih-alih
163,alissnyaa,alisnya
164,aljasa , asal jadi saja
165,alkhamdulilah,alhamdulillah
166,allaahh,allah
167,allahh,allah
168,allahhhh,allah
169,allahhhhhhh,allah
170,alloh,allah
171,alm,almarhum
172,almaidahyg , almaidah
173,almh,almarhumah
174,aloh,allah
175,alow , halo
176,alu,aku
177,am,sama
178,ama,sama
179,ama , sama
180,amaattt,amat
181,amad,amat
182,amatt,amat
183,ambilin,mengambil
184,ambilin , ambilkan
185,ambl , ambil
186,ameen,amin
187,amen,amin
188,amerik , amarika
189,amfun,ampun
190,amien,aamiin
191,amiend,amien
192,amienn,amien
193,amiennn,amien
194,amiennnn,amien
195,amiien,amien
196,amiiiiiiiiiiiiiiiiin,amin
197,amiiiiiiiiiiin,amin
198,amiiiiiiiiiinnnnnnn,amin
199,amiiiiin,amin
200,amiiiiinnn,amin
201,amiiiiinnnnn,amin
202,amiiiin,amin
203,amiiin,amin
204,amiiinn,amin
205,amiiinnn,amin
206,amiiinnnn,amin
207,amiin,amin
208,amiinn,amin
209,amiinnn,amin
210,amiinnnn,amin
211,amin,aamiin
212,amin2,amin-amin
213,aminn,amin
214,aminn2,amin-amin
215,aminnn,amin
216,aminnnn,amin
217,aminnnn2,amin-amin
218,aminnnnn,amin
219,amit2,amit-amit
220,ammiiin,amin
221,ammin,amin
222,amohhh,kamu
223,ampe,sampai
224,amploppp,amplop
225,ampunn,ampun
226,ampunnnn,ampun
227,ampunnnnn,ampun
228,ampuun,ampun
229,ampuunn,ampun
230,ampuuun,ampun
231,ampuuunn,ampun
232,ampyunnnn,ampun
233,amu,kamu
234,"anak""",anak-anak
235,anak2,anak-anak
236,anak2 , anak-anak
237,anak2e,anak-anaknya
238,anak2mu,anak-anakmu
239,anak2nya,anak-anaknya
240,anakny,anaknya
241,anakx,anaknya
242,anak'y,anaknya
243,analisise , analisis
244,ancur,hancur
245,ancur , hancur
246,ancurrr,hancur
247,and,dan
248,anda,kamu
249,andaaa,anda
250,ane,saya
251,aned,banget
252,anedh,banget
253,aneed,banget
254,aneh2,aneh-aneh
255,anehhh,aneh
256,aneut,banget
257,angis , nangis
258,anj,anjing
259,anjaaaayyyyyy,anjay
260,anjaayy,anjay
261,anjay , anjing
262,anjayyyy,anjay
263,anjingnyaa,anjingnya
264,anjir , anjing
265,anjirr,anjir
266,anjirrr,anjir
267,anjirrrr,anjir
268,anjjjjjjjj,anjing
269,anjrit , anjing
270,ank,anak
271,ank , anak
272,"ank""",anak-anak
273,ank2,anak-anak
274,ank2nya,anak-anaknya
275,ankknyaaa,anaknya
276,anknya,anaknya
277,ankx,anaknya
278,annnnjjjjjjrrrr,anjir
279,anter , antar
280,anterin,antar
281,anterin,antarkan
282,anugrah,anugerah
283,anyeng,anjing
284,ap,apa
285,ap , apa
286,ap2 , apa-apa
287,"apa""",apa-apa
288,apa2,apa-apa
289,apa2nya,apa-apanya
290,apaa,apa
291,apaaa,apa
292,apaaan,apaan
293,apaalahh,apalah
294,apaan , apa
295,apah,apa
296,apain,apai
297,apal,hapal
298,apalagiii,apalagi
299,apalai,apalagi
300,apalg,apalagi
301,apalgi,apalagi
302,apasih , apa sih
303,apasihhh,apasih
304,ape,apa
305,ape , apa
306,apes , sial
307,apikkkk,apik
308,aplikasiin,mengaplikasikan
309,aplks,aplikasi
310,aplot , unggah
311,apo,apa
312,appa,apa
313,applikasi,aplikasi
314,aps,apa
315,aps , apa
316,apun,apapun
317,apus,hapus
318,apva , apa
319,aq,aku
320,aq,saya
321,aq , saya
322,aqu,aku
323,aqu , aku
324,aquwh , aku
325,arab2,arab-arab
326,arghhh,ah
327,"artis""",artis-artis
328,artis2,artis-artis
329,artisnyaa,artisnya
330,"artist""",artis-artis
331,artix,artinya
332,as , amerika serikat
333,asap , sesegera mungkin
334,asbun , asal bunyi
335,aseek , asyik
336,aseekk , asyik
337,asek , asyik
338,asekk , asik
339,asekk , asyik
340,aseknya , asyiknya
341,asem , asam
342,asikkk,asik
343,asliii,asli
344,asliiii,asli
345,asliiiii,asli
346,aslinyo,aslinya
347,asoy , asyik
348,aspal , asli tetapi palsu
349,astafirullah,astagfirullah
350,astagaa,astaga
351,astagaaa,astaga
352,astagaaaa,astaga
353,astagaaaaaa,astaga
354,astagaaaaaaaa,astaga
355,astagfirrullah,astagfirullah
356,astagfirullh,astagfirullah
357,astauviruloh,astagfirullah
358,astgfrlh,astagfirullah
359,astgfrullah,astagfirullah
360,astrojim , astagfirullahaladzim
361,astul , asal tulis
362,asuuu,asu
363,asyikkkkk,asyik
364,atassan,atasan
365,atassss,atas
366,ath , kalau begitu
367,"ati""",hati-hati
368,ati2,hati-hati
369,ato,atau
370,ato , atau
371,ats,atas
372,ats , atas
373,atu,satu
374,atuh , kalau begitu
375,atuhh,atuh
376,atuhhh,atuh
377,atutt,takut
378,atuu,satu
379,atvsi , asosiasi televisi swasta indonesia
380,atw,atau
381,au , angkatan udara
382,au ah , tidak mau tahu
383,aurot,aurat
384,autuhh,tau tuh
385,ava , avatar
386,awaas,awas
387,awak , saya
388,awal2,awal-awal
389,awk,awak
390,awl,awal
391,awoohhh,allah
392,aws , awas
393,ay , sayang
394,ayahh,ayah
395,ayang , sayang
396,ayank,sayang
397,ayank , sayang
398,ayat2 , ayat-ayat
399,ayok , ayo
400,ayoklaa,ayolah
401,ayoo,ayo
402,ayooo,ayo
403,ayoook,ayo
404,ayoookkkkkk,ayo
405,ayoooo,ayo
406,ayooook,ayo
407,ayuk,ayo
408,ayukk,yuk
409,aza,saja
410,azaab,azab
411,azeeeek,asik
412,azekkkk,asik
413,b2,berdua
414,b2 , berdua
415,b2an,berduaan
416,b3,bertiga
417,b4 , sebelum
418,baaaaaang,bang
419,baaiikkk,baik
420,baang,bang
421,baanget,banget
422,baanggeettt,banget
423,babget,banget
424,baca2,baca-baca
425,bacaaaa,baca
426,bacahalah,bacalah
427,bacot , banyak bicara
428,bacotin,bacoti
429,badaaiii,badai
430,badaii,badai
431,badingkan,membandingkan
432,bae2,baik-baik
433,baek,baik
434,baek2,baik-baik
435,bag,bagian
436,bagaatt,banget
437,bagaimanaaa,bagaimana
438,bagaimna,bagaimana
439,baget,banget
440,bagi2,bagi-bagi
441,bagiii,bagi
442,bagiin,bagikan
443,bagiin,membagikan
444,bagus2,bagus-bagus
445,bagusnyeee,bagusnya
446,baguss,bagus
447,bagusss,bagus
448,bagussss,bagus
449,baguusss,bagus
450,baguuus,bagus
451,baguuuuus,bagus
452,bahas2,bahas-bahas
453,baik2,baik-baik
454,baik2nya,baik-baiknya
455,baikk,baik
456,baikxa,baiknya
457,bajir , banjir
458,baju.a,bajunya
459,baju2,baju-baju
460,baju'a,bajunya
461,bakalan , akan
462,bakar2in,bakar-bakari
463,bakattt,bakat
464,bales,balas
465,bales , balas
466,bales2in,balas-membalas
467,balesin,membalas
468,bandes , bantuan desa
469,bandingin,bandingkan
470,bangat,banget
471,bangcat,bangsat
472,bangdes , pembangunan desa
473,banged,banget
474,bangedd,banget
475,bangedh , banget
476,bangedt,banget
477,bangeeeeetttt,banget
478,bangeeeet,banget
479,bangeeet,banget
480,bangeeettt,banget
481,bangeer,banget
482,bangeet,banget
483,bangeett,banget
484,bangeettt,banget
485,banger,banget
486,banget,sangat
487,bangets,banget
488,bangett,banget
489,bangettt,banget
490,bangetttt,banget
491,bangettttt,banget
492,bangetttttt,banget
493,bangettttttt,banget
494,bangetttttttt,banget
495,bangetttttyt,banget
496,bangg,bang
497,"bangga""in",membangga-banggakan
498,bangga2in,membangga-banggakan
499,banggain,banggakan
500,bangget,banget
501,banggett,banget
502,bangke,bangkai
503,bangkotan , tua
504,bangkret,bangkrut
505,bangrt,banget
506,bangshad,bangsat
507,bangt,banget
508,"bangt""",banget-banget
509,banhet,banget
510,banpol , bantuan polisi
511,banpres , bantuan presiden
512,banpur , bantuan tempur
513,bansarkas , bantuan sarana kesehatan
514,bante,bantai
515,bantuanny,bantuannya
516,bantuim,bantu
517,banx,bang
518,banyaaaaaak,banyak
519,banyaaaak,banyak
520,banyaak,banyak
521,banyak2,banyak-banyak
522,banyakin,membanyaki
523,bape,bawa perasaan
524,bapeeeer,bawa perasaan
525,bapeerr,bawa perasaan
526,baper,bawa perasaan
527,baper , bawa perasaan
528,baperr,bawa perasaan
529,baraang,barang
530,barang2,barang-barang
531,barengg,bareng
532,baru2,baru-baru
533,baruu,baru
534,basbang , basi
535,basodaraa,bersaudara
536,bat,banget
537,batesin,batasi
538,batikk,batik
539,battt,banget
540,batwc,banget
541,"bawa""",bawa-bawa
542,bawa2,bawa-bawa
543,bawak,bawa
544,bayangin,bayangkan
545,bazengg,bajingan
546,bazis ," badan amal, zakat, infak, dan sedekah"
547,bbrp,beberapa
548,bbrp , beberapa
549,bbrpa,beberapa
550,bc,baca
551,bca,baca
552,bcanda , bercanda
553,bcnda,bercanda
554,bcoz , karena
555,bdampingan,berdampingan
556,bdan,badan
557,bdaya , budaya
558,bdg , bandung
559,bdk , budak
560,bdn,badan
561,beb , sayang
562,bebal , bodoh
563,bebrp,beberapa
564,beda2,beda-beda
565,bedaa,beda
566,bedaaa,beda
567,bedain,membedakan
568,bedainnya,membedakannya
569,bedakin , bedak
570,bedanyaaa,bedanya
571,bedua,berdua
572,begajulan , nakal
573,begete,banget
574,beginii,begini
575,beginiiii,begini
576,begok,bego
577,bejibun , banyak
578,bejilbbnya,berjilbabnya
579,"bela""in",membela-bela
580,bela2in,membela-bela
581,belain,membela
582,belanjaa,belanja
583,beliiin,belikan
584,beliin,membelikan
585,beliin,belikan
586,beliin , belikan
587,bellain,membela
588,belom,belum
589,belom , belum
590,belooomm,belum
591,beluumm,belum
592,bem , badan eksekutif mahasiswa
593,benahin,membenahi
594,"benar""",benar-benar
595,benar2,benar-benar
596,benarin,membenarkan
597,benarjujur , benar
598,benarjujur , jujur
599,bencong , banci
600,benda2,benda-benda
601,bener,benar
602,bener , benar
603,"bener""",benar-benar
604,bener2,benar-benar
605,bener2 , bener bener
606,beneraan,benaran
607,beneran,benaran
608,benerr,benar
609,benet,benar
610,benetaran,benaran
611,bengkak2,bengkak-bengkak
612,benneeeeeerr,benar
613,bentar , sebentar
614,bentarr,bentar
615,ber2,berdua
616,ber2 , berdua
617,ber3 , bertiga
618,berangat,berangkat
619,berani2,berani-berani
620,berarto,berarti
621,berati,berarti
622,beratttttttt,berat
623,berbakiti,berbakti
624,berbeda2,berbeda-beda
625,berbiiiiiihhh,barbie
626,berdikari , berdiri di atas kaki sendiri
627,berenanh,berenang
628,beresin , membereskan
629,ber'expresi,berekspresi
630,berfikir,berpikir
631,bergunaa,berguna
632,berhenti2 , berhenti berhenti
633,berhijap,berhijab
634,berjinah,berzina
635,berkluarga,berkeluarga
636,bermaksut,bermaksud
637,berntung,beruntung
638,bertatto,bertato
639,bertolernsi,bertoleransi
640,beruntungnyaaaa,beruntungnya
641,"besar""",besar-besar
642,besar2an,besar-besaran
643,besar2in,besar-besarkan
644,besarin,membesarkan
645,besokkk,besok
646,besook,besok
647,bet,banget
648,bet , banget
649,bete , bosan
650,beti , beda tipis
651,bets,banget
652,bettt,banget
653,betul2,betul-betul
654,betuuuuulllllllllllllllll,betul
655,beud,banget
656,beud,sangat
657,beud , banget
658,beudd,banget
659,beut,banget
660,beut , banget
661,bg,bang
662,bg , abang
663,bg , bagi
664,bgd,banget
665,bgd , banget
666,bgect,banget
667,bget,banget
668,bgettt,banget
669,bgi,bagi
670,bgini,begini
671,bgitu,begitu
672,bgm , bagaimana
673,bgmana,bagaimana
674,bgmn,bagaimana
675,bgmn , bagaimana
676,bgmna,bagaimana
677,bgni,begini
678,bgs,bagus
679,bgs , bagus
680,bgst , bangsat
681,bgt,banget
682,bgt,sangat
683,bgt , banget
684,bgtt,banget
685,bgttt,banget
686,bgtttt,banget
687,bgttttttt,banget
688,bgtttttttt,banget
689,bgtu,begitu
690,bgtu , begitu
691,bgtuu,begitu
692,bgun,bangun
693,bgus,bagus
694,bgussss,bagus
695,bhagaia,bahagia
696,bhagia,bahagia
697,bhai , bye
698,bhas,bahas
699,bhet,banget
700,bhgia,bahagia
701,bhgiain,membahagiakan
702,bhijab,berhijab
703,bhkan , bahkan
704,bhkn,bahkan
705,bhn,bahan
706,bhnya,bahannya
707,bhs,bahasa
708,bhubu , tidur
709,bhw,bahwa
710,bhw , bahwa
711,bhwa,bahwa
712,bhy , bahaya
713,biarin,biarkan
714,biasa2,biasa-biasa
715,biasaa,biasa
716,biasaaa,biasa
717,biasaaaa,biasa
718,biasahhh,biasa
719,bijak2,bijak-bijak
720,bijimane , bagaimana
721,bijin,bikin
722,bikinin,bikin
723,bikinin,membikin
724,bikinnn,bikin
725,"bilang""",bilang-bilang
726,bilang2,bilang-bilang
727,bilangg,bilang
728,bilangin,bilang
729,bilanh,bilang
730,bilanh , bilang
731,bilng,bilang
732,bimbuluh , bimbingan dan penyuluhan
733,binggo,banget
734,bingiiittttzzzz,banget
735,bingiiittzz,banget
736,bingiit,banget
737,bingiittt,banget
738,bingit,banget
739,bingits,banget
740,bingitss,banget
741,bingitsss,banget
742,bingitt,banget
743,bingittzz,banget
744,bingitzzzz,banget
745,bintal , bimbingan mental
746,bird,biru
747,biri,biru
748,bisaa,bisa
749,bisaaa,bisa
750,bisax,bisanya
751,bisi , kalau-kalau
752,biza,bisa
753,bju,baju
754,bka,buka
755,bkal,bakal
756,bkan,bukan
757,bkannya , bukannya
758,bkin,bikin
759,bkl , akan
760,bkln,bakalan
761,bkmt , badan kontak majelis taklim
762,bkn,bukan
763,bkn,bikin
764,bkn , bukan
765,bknnya , bukannya
766,bl,bila
767,bl , beli
768,blajar,belajar
769,blakon,berlakon
770,blas , balas
771,blegug , bodoh
772,bleh,boleh
773,blg,bilang
774,blg , bilang
775,blh,boleh
776,blh , boleh
777,bli,beli
778,bli2n,beli-belikan
779,blik,balik
780,blim,belum
781,bljr,belajar
782,blkang,belakang
783,blkng,belakang
784,blln,bulan
785,blm,belum
786,blm , belum
787,bln,bulan
788,bln , bulan
789,blng,bilang
790,blnja,belanja
791,bloghhh,goblok
792,blom,belum
793,bls,balas
794,bls , balas
795,blum,belum
796,blum , belum
797,bnchi , benci
798,bnci , benci
799,bnda,bunda
800,bnda , benda
801,bner,benar
802,"bner""",benar-benar
803,bner2,benar-benar
804,bneraan,benaran
805,bneran,benaran
806,bnern,benaran
807,bnerr,benar
808,bng,bang
809,bngatt,banget
810,bngeeeetttt,banget
811,bngeet,banget
812,bnget,banget
813,bngett,banget
814,bngettt,banget
815,bngetttt,banget
816,bnggain,banggakan
817,bngkit,bangkit
818,bngt,banget
819,bngtt,banget
820,bngttt,banget
821,bngtttt,banget
822,bngtzt,banget
823,bngun,bangun
824,bngung , bingung
825,bngunlah,bangunlah
826,bngy,banget
827,bnk,bang
828,bnr,benar
829,bnr2,benar-benar
830,bnran,benaran
831,bnran , yang benar
832,bnrn,benaran
833,bntar,bentar
834,bntr,bentar
835,bntr , sebentar
836,bntu,bantu
837,bnyak,banyak
838,bnyk,banyak
839,bnyk , banyak
840,bodhoo,bodoh
841,bodhooo,bodoh
842,bodor , lucu
843,bohay , badan aduhai
844,bokap , ayah
845,bokep , porno
846,bokep , video porno
847,boker,berak
848,boker , buang air besar
849,bokin , pacar
850,bokis , bohong
851,bol3h,boleh
852,bolang,bocah petualang
853,bole,boleh
854,bole , boleh
855,boleh2,boleh-boleh
856,boljug , boleh juga
857,bolot , bodoh
858,bonek , bocah nekat
859,bonyok , ayah ibu
860,boong,bohong
861,bo'ong,bohong
862,bopi , badan olahraga profesional indonesia
863,boro2,boro-boro
864,bosaan,bosan
865,bosen,bosan
866,bosen2,bosan-bosan
867,bosenin,membosankan
868,boss,bos
869,botakin,botaki
870,botakkkk,botak
871,boyeh , boleh
872,bpk,bapak
873,bpk , bapak
874,bpkmu,bapakmu
875,bpknya,bapaknya
876,br,baru
877,br , baru
878,bradegan,beradegan
879,brangnya,barangnya
880,brani,berani
881,branjak,beranjak
882,brantem,berantem
883,brapa,berapa
884,brarti,berarti
885,brasa,berasa
886,brayyy,bray
887,brb , segera kembali
888,brbakti,berbakti
889,brbuat,berbuat
890,brdiri,berdiri
891,brdua,berdua
892,brengsekk,brengsek
893,bres,beres
894,brg,bareng
895,brg , bareng
896,"brg""",bareng-bareng
897,brhadapan , berhadapan
898,brhasil,berhasil
899,brhjb,berhijab
900,brisi,berisi
901,brita,berita
902,britanya,beritanya
903,brjdh,berjodoh
904,brjodoh,berjodoh
905,brkunjun,berkunjung
906,brngkt , berangkat
907,bro , saudara laki-laki
908,bronis,brondong manis
909,brp,berapa
910,brp , berapa
911,brpa,berapa
912,brpndapat,berpendapat
913,brrt,berarti
914,brrti,berarti
915,brsama,bersama
916,brsdia , bersedia
917,brsma,bersama
918,brstu , bersatu
919,brsyukur,bersyukur
920,brtngkar,bertengkar
921,bru,baru
922,bru , baru
923,brubah,berubah
924,brur , saudara laki-laki
925,brusaha,berusaha
926,bs,bisa
927,bs , bisa
928,bsa,bisa
929,bsa , bisa
930,bsen , bosan
931,bsk,besok
932,bsk , besok
933,bsok,besok
934,bsr , besar
935,bt,buat
936,bt , bosan sekali
937,bt , buat
938,btol , botol
939,btuh,butuh
940,btul,betul
941,btulan,betulan
942,btw , by the way
943,btw , ngomong-ngomong
944,bu_bu , tidur
945,buangbuang , buang
946,buanget,banget
947,buanyaaak,banyak
948,buatin,buatkan
949,buatin,membuat
950,buaya , tidak setia
951,bubarin , bubarkan
952,bubbu , tidur
953,buber , buka bersama
954,bubu , tidur
955,bujngn,bujangan
956,bujubune , luar biasa
957,bujukk,bujuk
958,buka2,buka-buka
959,buka2an,buka-bukaan
960,bukak,buka
961,bukan'a,bukannya
962,bukn,bukan
963,bukti2,bukti-bukti
964,buktiin,buktikan
965,buktiin,membuktikan
966,buktinyaaa,buktinya
967,bulet,bulat
968,bumil , ibu hamil
969,bund,bunda
970,bundaa,bunda
971,bundaaa,bunda
972,bundaaaa,bunda
973,bunga2,bunga-bunga
974,bungggg,bung
975,bungkusin,bungkuskan
976,bungkuuussss,bungkus
977,bungkuuuuuuuuusss,bungkus
978,bunuh2an , bunuh-bunuhan
979,burem,buram
980,buruann,buruan
981,buruannn,buruan
982,busedh,buset
983,buseett,buset
984,buser , buru sergap
985,buuun,bun
986,buzzerbuzzer , buzzer
987,bw,bawa
988,bw , bawa
989,"bwa""",bawa-bawa
990,bwhn , bawahan
991,bwt,buat
992,bwt , buat
993,byak,banyak
994,byangin,membayangkan
995,byar , bayar
996,byaran,bayaran
997,byk,banyak
998,byk , banyak
999,byr , bayar
1000,byrin , bayarkan
1001,bz,bisa
1002,c,sih
1003,c8 , chat
1004,caaannnttiikkk,cantik
1005,caantiiik,cantik
1006,cabal , sabar
1007,cabe2,cabe-cabe
1008,cabe2an,cabe-cabean
1009,cabol,cabul
1010,cabut , pergi
1011,cadas , keren
1012,cadasss,cadas
1013,caem , cakep
1014,cakap , berbicara
1015,cakeeeeppp,cakep
1016,cakeep,cakep
1017,cakepp,cakep
1018,cali,caci
1019,calo , makelar
1020,cama-cama , sama-sama
1021,campurin,mencampuri
1022,can , belum
1023,canci,cantik
1024,cangcut , celana dalam
1025,cannnnntikkkkkkk,cantik
1026,cannntikk,cantik
1027,cans,cantik
1028,canteek,cantik
1029,canti,cantik
1030,cantiiiiiiik,cantik
1031,cantiiiik,cantik
1032,cantiiiikk,cantik
1033,cantiiik,cantik
1034,cantiiikk,cantik
1035,cantiiikkk,cantik
1036,cantiiillx,cantik
1037,cantiik,cantik
1038,cantiik2,cantik-cantik
1039,cantiikk,cantik
1040,cantiikkkk,cantik
1041,cantik2,cantik-cantik
1042,cantik2nya,cantik-cantiknya
1043,cantika,cantik
1044,cantikk,cantik
1045,cantikkk,cantik
1046,cantikkkk,cantik
1047,cantikkkkk,cantik
1048,cantikkkkkk,cantik
1049,cantikkkkkkkk,cantik
1050,cantikkkm,cantik
1051,cantiknnnnyaaaaaaa,cantiknya
1052,cantiknyaa,cantiknya
1053,cantiknyaaa,cantiknya
1054,cantiknyaaaaa,cantiknya
1055,cantiks,cantik
1056,cantikx,cantiknya
1057,cantinya,cantiknya
1058,cantip,cantik
1059,cantiq,cantik
1060,cantiqs,cantik
1061,cantix,cantik
1062,cantk,cantik
1063,canttikkk,cantik
1064,canttttikkk,cantik
1065,canyk,cantik
1066,capa,sapa
1067,capcus , pergi
1068,cape,capek
1069,cape , capek
1070,capee,cape
1071,capek , lelah
1072,caper , cari perhatian
1073,capresss , calon presiden
1074,caranga,caranya
1075,cari2,cari-cari
1076,cariin,carikan
1077,catiiiiik,cantik
1078,catokin,catok
1079,caur , jelek
1080,caya,percaya
1081,cayalah , percaya
1082,cb,coba
1083,cb , coba
1084,cba,coba
1085,cc , carbon copy
1086,ccok,cocok
1087,cd,celana dalam
1088,ce , cewek
1089,ceemen,cemen
1090,cek2,cek-cek
1091,cekak , tidak ada uang
1092,cekal , cegah tangkal
1093,cekidot , coba lihat
1094,ceklist,ceklis
1095,cem,macam
1096,cemburuu,cemburu
1097,cemen , penakut
1098,cemplungin , cemplungkan
1099,cempreeng,cempreng
1100,cengengesan , tertawa
1101,centillll,centil
1102,centilnyaaaaaa,centilnya
1103,cepat2 , cepat cepat
1104,ceper , pendek
1105,cepet,cepat
1106,cepet , cepat
1107,cepet2,cepat-cepat
1108,cepetan,cepatan
1109,cerdass,cerdas
1110,cerdiik,cerdik
1111,ceritax,ceritanya
1112,ceu , kakak perempuan
1113,cew,cewek
1114,cew , cewek
1115,cewe,cewek
1116,cewe , cewek
1117,cewer,jewer
1118,chelalyyu,selalu
1119,choker2,choker-choker
1120,chuyunk , sayang
1121,ciapa,siapa
1122,cibuk , sibuk
1123,ciee,cie
1124,cieee,cie
1125,cieeee,cie
1126,cieeeee,cie
1127,ciieeeeeee,cie
1128,ciiieee,cie
1129,cimeng , ganja
1130,cin , cinta
1131,cinggirnyaaaa,cinggirnya
1132,cini,sini
1133,cino,cina
1134,cintaaaaaaa,cinta
1135,cintax,cintanya
1136,cipika cipiki , cium pipi kanan cium pipi kiri
1137,ciptain,ciptakan
1138,ciptain,menciptakan
1139,cita2,cita-cita
1140,ciumman,ciuman
1141,ciusss,serius
1142,ciuuuummmm,cium
1143,ciye , cie
1144,ciyeeee,cie
1145,ciyeeeeeee,cie
1146,ciyh , sih
1147,ciyusss,serius
1148,cjr , coboy junior
1149,ckck , ck
1150,ckepp , cakep
1151,ckp,cukup
1152,ckp , cakep
1153,ckp , cukup
1154,ckrng,sekarang
1155,ckup,cukup
1156,clbk , cinta lama bersemi kembali
1157,cm,cuma
1158,cm,hanya
1159,cm , cuma
1160,cma,cuma
1161,cma,hanya
1162,cman,cuman
1163,cmiiw , correct me if i'm wrong
1164,cmkn,camkan
1165,cmn,cuman
1166,cmpr , campur
1167,cmpur,campur
1168,cmpur , campur
1169,cnenk , senang
1170,cntiiikkk,cantik
1171,cntik,cantik
1172,cntikan,cantikan
1173,cntikk,cantik
1174,cntiknya,cantiknya
1175,cntk,cantik
1176,co,cowok
1177,cobaa,coba
1178,cobaaa,coba
1179,cobaaaa,coba
1180,cobain,coba
1181,cobain,mencoba
1182,cobak,coba
1183,coccokk,cocok
1184,cock,cocok
1185,cocokk,cocok
1186,cocokkk,cocok
1187,cocokkkk,cocok
1188,cocokkkkk,cocok
1189,cocokny,cocoknya
1190,cocokx,cocoknya
1191,cocook,cocok
1192,cocookk,cocok
1193,coeggg,coeg
1194,cogan,cowok ganteng
1195,comen,komen
1196,comen2nya,komen-komennya
1197,coment,komen
1198,coment,komentar
1199,comment2nya,komentar-komentarnya
1200,comnet,komen
1201,comntr,komentar
1202,cong , banci
1203,congor , mulut
1204,conlok , cinta lokasi
1205,cooocok,cocok
1206,cooooooocok,cocok
1207,"coret""",coret-coret
1208,cos , cause
1209,cow,cowok
1210,cow , cowo
1211,cow , cowok
1212,cowo,cowok
1213,cowwyy , maaf
1214,coxok,cocok
1215,coyyy,coy
1216,coz , karena
1217,cp , siapa
1218,cpa,siapa
1219,cpa , siapa
1220,cpe , capek
1221,cpet,cepat
1222,cpit,sipit
1223,cppa , siapa
1224,cppe , capek
1225,cpt,cepat
1226,cr,cara
1227,cr , cara
1228,cri,cari
1229,critamu,ceritamu
